335,329,687ms ID:000D237B Pr:00000000             0 +        35,392 2178B41AFCE0EAA3BEFA0DB1D485BE35         ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\femalecivilian3portrait_static.dds"
335,329,687ms ID:000D237C Pr:00000000             0 +        72,252 19A0C4AA6312069FE60103525F65E3C1         StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\terran\sharedeffects\explosions\terran_explosionmedium0.wav"
335,329,703ms ID:000D237C Pr:00000000             0 +        72,252 19A0C4AA6312069FE60103525F65E3C1         ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\terran\sharedeffects\explosions\terran_explosionmedium0.wav"
335,329,703ms ID:000D237D Pr:00000000             0 +        61,500 3B414B22AD61DF65DEC0D4BC4A9D7479         StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\protoss\sharedeffects\explosions\protoss_explosionsmall8.wav"
335,329,703ms ID:000D237D Pr:00000000             0 +        61,500 3B414B22AD61DF65DEC0D4BC4A9D7479         ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\protoss\sharedeffects\explosions\protoss_explosionsmall8.wav"
335,329,703ms ID:000D237E Pr:00000000             0 +        83,772 16F4CB32F6F7F6386E291EF4BE70C4A5         StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\terran\sharedeffects\explosions\terran_explosionlarge4.wav"
335,329,703ms ID:000D237E Pr:00000000             0 +        83,772 16F4CB32F6F7F6386E291EF4BE70C4A5         ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\terran\sharedeffects\explosions\terran_explosionlarge4.wav"
335,329,703ms ID:000D237F Pr:00000000             0 +         5,904 09250D0BE61953FE7D8D8D5EB1A96CC2         StreamingThreadProc(): Calling Callback: success = true "Mods\Core.SC2Mod\Base.SC2Assets" "assets\textures\ui_btn_aicommand_commandcard_harass.dds"
335,329,703ms ID:000D237F Pr:00000000             0 +         5,904 09250D0BE61953FE7D8D8D5EB1A96CC2         ReleaseRequest(): Success "Mods\Core.SC2Mod\Base.SC2Assets" "assets\textures\ui_btn_aicommand_commandcard_harass.dds"
335,329,703ms ID:000D2380 Pr:00000000             0 +        35,392 B46FA508AA314EE199787C4C4A920384         StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\femalecivilian2portrait_static.dds"
335,329,703ms ID:000D2380 Pr:00000000             0 +        35,392 B46FA508AA314EE199787C4C4A920384         ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\textures\femalecivilian2portrait_static.dds"
335,329,703ms ID:000D2381 Pr:00000000             0 +    27,730,577 B78526C4502B24E2304AE998456B76C8         StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "assets\textures\video_gamemodes_veteran_low.ogv"
